clip_id,file_path,decision,ts
-jDBwP6g2tA_clip0021_t00136,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0021_t00136.mp4,keep,2026-06-27 12:34:58
-jDBwP6g2tA_clip0022_t00144,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0022_t00144.mp4,keep,2026-06-27 12:35:04
-jDBwP6g2tA_clip0023_t00149,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0023_t00149.mp4,keep,2026-06-27 12:35:08
-jDBwP6g2tA_clip0024_t00152,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0024_t00152.mp4,keep,2026-06-27 12:35:19
-jDBwP6g2tA_clip0025_t00157,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0025_t00157.mp4,keep,2026-06-27 12:35:25
-jDBwP6g2tA_clip0026_t00159,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0026_t00159.mp4,keep,2026-06-27 12:35:33
-jDBwP6g2tA_clip0027_t00164,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0027_t00164.mp4,keep,2026-06-27 12:35:45
-jDBwP6g2tA_clip0028_t00170,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0028_t00170.mp4,keep,2026-06-27 12:35:51
-jDBwP6g2tA_clip0029_t00176,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0029_t00176.mp4,keep,2026-06-27 12:36:01
-jDBwP6g2tA_clip0030_t00181,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0030_t00181.mp4,keep,2026-06-27 12:36:08
-jDBwP6g2tA_clip0031_t00184,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0031_t00184.mp4,keep,2026-06-27 12:36:18
-jDBwP6g2tA_clip0032_t00190,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0032_t00190.mp4,keep,2026-06-27 12:36:24
-jDBwP6g2tA_clip0033_t00195,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0033_t00195.mp4,keep,2026-06-27 12:36:31
-jDBwP6g2tA_clip0034_t00198,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0034_t00198.mp4,keep,2026-06-27 12:36:40
-jDBwP6g2tA_clip0035_t00200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0035_t00200.mp4,keep,2026-06-27 12:36:47
-jDBwP6g2tA_clip0036_t00209,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0036_t00209.mp4,keep,2026-06-27 12:36:56
-jDBwP6g2tA_clip0037_t00215,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0037_t00215.mp4,keep,2026-06-27 12:37:03
-jDBwP6g2tA_clip0038_t00218,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0038_t00218.mp4,keep,2026-06-27 12:37:09
-jDBwP6g2tA_clip0039_t00223,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0039_t00223.mp4,keep,2026-06-27 12:37:25
-jDBwP6g2tA_clip0040_t00233,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0040_t00233.mp4,keep,2026-06-27 12:37:36
-jDBwP6g2tA_clip0041_t00238,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0041_t00238.mp4,keep,2026-06-27 12:37:46
-jDBwP6g2tA_clip0042_t00243,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0042_t00243.mp4,keep,2026-06-27 12:37:55
-jDBwP6g2tA_clip0043_t00246,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0043_t00246.mp4,keep,2026-06-27 12:38:01
-jDBwP6g2tA_clip0044_t00252,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0044_t00252.mp4,keep,2026-06-27 12:38:05
-jDBwP6g2tA_clip0045_t00261,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0045_t00261.mp4,keep,2026-06-27 12:38:32
-jDBwP6g2tA_clip0046_t00269,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0046_t00269.mp4,keep,2026-06-27 12:38:36
