clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,has_cut_meta,decode_backend,cut_backend,run_id,url,title,channel,program_id,episode_id,canonical_source_id,decision
0cHIyeLFYOk_s0000168386_e0000174334,0cHIyeLFYOk,168.386,174.334,5.948,1.0,1.0,18.47,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000168386_e0000174334.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000174498_e0000178558,0cHIyeLFYOk,174.498,178.558,4.06,1.0,1.0,15.49,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000174498_e0000178558.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000182722_e0000186622,0cHIyeLFYOk,182.722,186.622,3.9,1.0,1.0,17.41,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000182722_e0000186622.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000191426_e0000194686,0cHIyeLFYOk,191.426,194.686,3.26,1.0,1.0,18.53,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000191426_e0000194686.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000194850_e0000205470,0cHIyeLFYOk,194.85,205.47,10.62,1.0,1.0,18.91,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000194850_e0000205470.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000205698_e0000207998,0cHIyeLFYOk,205.698,207.998,2.3,1.0,1.0,17.67,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000205698_e0000207998.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000208386_e0000218366,0cHIyeLFYOk,208.386,218.366,9.98,1.0,1.0,16.84,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000208386_e0000218366.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000218754_e0000225150,0cHIyeLFYOk,218.754,225.15,6.396,1.0,1.0,16.63,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000218754_e0000225150.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000225346_e0000229406,0cHIyeLFYOk,225.346,229.406,4.06,1.0,1.0,18.57,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000225346_e0000229406.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000229506_e0000235678,0cHIyeLFYOk,229.506,235.678,6.172,1.0,1.0,17.5,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000229506_e0000235678.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000246402_e0000252734,0cHIyeLFYOk,246.402,252.734,6.332,1.0,1.0,18.62,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000246402_e0000252734.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000252898_e0000255518,0cHIyeLFYOk,252.898,255.518,2.62,1.0,1.0,16.43,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000252898_e0000255518.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000255618_e0000260618,0cHIyeLFYOk,255.618,260.618,5.0,1.0,1.0,18.31,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000255618_e0000260618.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000274530_e0000278494,0cHIyeLFYOk,274.53,278.494,3.964,1.0,1.0,18.1,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000274530_e0000278494.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000281218_e0000286218,0cHIyeLFYOk,281.218,286.218,5.0,1.0,1.0,17.3,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000281218_e0000286218.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000294658_e0000302526,0cHIyeLFYOk,294.658,302.526,7.868,1.0,1.0,19.92,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000294658_e0000302526.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000303842_e0000308350,0cHIyeLFYOk,303.842,308.35,4.508,1.0,1.0,17.3,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000303842_e0000308350.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000308578_e0000316510,0cHIyeLFYOk,308.578,316.51,7.932,1.0,1.0,18.64,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000308578_e0000316510.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000316674_e0000322302,0cHIyeLFYOk,316.674,322.302,5.628,1.0,1.0,18.94,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000316674_e0000322302.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000322434_e0000331774,0cHIyeLFYOk,322.434,331.774,9.34,1.0,1.0,17.59,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000322434_e0000331774.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000331906_e0000340030,0cHIyeLFYOk,331.906,340.03,8.124,1.0,1.0,18.5,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000331906_e0000340030.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000370754_e0000374014,0cHIyeLFYOk,370.754,374.014,3.26,1.0,1.0,18.38,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000370754_e0000374014.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000374210_e0000377214,0cHIyeLFYOk,374.21,377.214,3.004,1.0,1.0,19.4,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000374210_e0000377214.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000383074_e0000387134,0cHIyeLFYOk,383.074,387.134,4.06,1.0,1.0,19.56,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000383074_e0000387134.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000387234_e0000389438,0cHIyeLFYOk,387.234,389.438,2.204,1.0,1.0,18.85,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000387234_e0000389438.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000389602_e0000391934,0cHIyeLFYOk,389.602,391.934,2.332,1.0,1.0,18.95,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000389602_e0000391934.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000392258_e0000394750,0cHIyeLFYOk,392.258,394.75,2.492,1.0,1.0,18.81,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000392258_e0000394750.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000402562_e0000405438,0cHIyeLFYOk,402.562,405.438,2.876,1.0,1.0,16.11,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000402562_e0000405438.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000409890_e0000414750,0cHIyeLFYOk,409.89,414.75,4.86,1.0,1.0,17.26,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000409890_e0000414750.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000415362_e0000417630,0cHIyeLFYOk,415.362,417.63,2.268,1.0,1.0,17.89,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000415362_e0000417630.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000418338_e0000424094,0cHIyeLFYOk,418.338,424.094,5.756,1.0,1.0,17.12,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000418338_e0000424094.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000427074_e0000429758,0cHIyeLFYOk,427.074,429.758,2.684,1.0,1.0,14.58,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000427074_e0000429758.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000429922_e0000434302,0cHIyeLFYOk,429.922,434.302,4.38,1.0,1.0,17.44,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000429922_e0000434302.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000439010_e0000447358,0cHIyeLFYOk,439.01,447.358,8.348,1.0,1.0,19.25,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000439010_e0000447358.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000456066_e0000458110,0cHIyeLFYOk,456.066,458.11,2.044,1.0,1.0,20.75,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000456066_e0000458110.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000462338_e0000467518,0cHIyeLFYOk,462.338,467.518,5.18,1.0,1.0,18.24,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000462338_e0000467518.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000467778_e0000473886,0cHIyeLFYOk,467.778,473.886,6.108,1.0,1.0,17.93,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000467778_e0000473886.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000476578_e0000481438,0cHIyeLFYOk,476.578,481.438,4.86,1.0,1.0,17.81,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000476578_e0000481438.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000481602_e0000491710,0cHIyeLFYOk,481.602,491.71,10.108,1.0,1.0,17.85,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000481602_e0000491710.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000511074_e0000516702,0cHIyeLFYOk,511.074,516.702,5.628,1.0,1.0,19.07,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000511074_e0000516702.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000516898_e0000521150,0cHIyeLFYOk,516.898,521.15,4.252,1.0,1.0,17.75,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000516898_e0000521150.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000527970_e0000530206,0cHIyeLFYOk,527.97,530.206,2.236,1.0,1.0,21.98,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000527970_e0000530206.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000535490_e0000542334,0cHIyeLFYOk,535.49,542.334,6.844,1.0,1.0,18.83,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000535490_e0000542334.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000589218_e0000595998,0cHIyeLFYOk,589.218,595.998,6.78,1.0,1.0,18.21,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000589218_e0000595998.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000614114_e0000618142,0cHIyeLFYOk,614.114,618.142,4.028,1.0,1.0,18.05,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000614114_e0000618142.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000618306_e0000622654,0cHIyeLFYOk,618.306,622.654,4.348,1.0,1.0,16.17,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000618306_e0000622654.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000622850_e0000627870,0cHIyeLFYOk,622.85,627.87,5.02,1.0,1.0,17.19,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000622850_e0000627870.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000628066_e0000632830,0cHIyeLFYOk,628.066,632.83,4.764,1.0,1.0,16.22,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000628066_e0000632830.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000637954_e0000640286,0cHIyeLFYOk,637.954,640.286,2.332,1.0,1.0,17.56,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000637954_e0000640286.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000640642_e0000644062,0cHIyeLFYOk,640.642,644.062,3.42,1.0,1.0,18.81,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000640642_e0000644062.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000644162_e0000649118,0cHIyeLFYOk,644.162,649.118,4.956,1.0,1.0,18.83,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000644162_e0000649118.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000649506_e0000655454,0cHIyeLFYOk,649.506,655.454,5.948,1.0,1.0,18.48,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000649506_e0000655454.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000655650_e0000658206,0cHIyeLFYOk,655.65,658.206,2.556,1.0,1.0,18.18,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000655650_e0000658206.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000658434_e0000661694,0cHIyeLFYOk,658.434,661.694,3.26,1.0,1.0,18.03,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000658434_e0000661694.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000662338_e0000665630,0cHIyeLFYOk,662.338,665.63,3.292,1.0,1.0,18.88,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000662338_e0000665630.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000665986_e0000668446,0cHIyeLFYOk,665.986,668.446,2.46,1.0,1.0,17.02,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000665986_e0000668446.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000669474_e0000671518,0cHIyeLFYOk,669.474,671.518,2.044,1.0,1.0,16.22,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000669474_e0000671518.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000684834_e0000689834,0cHIyeLFYOk,684.834,689.834,5.0,1.0,1.0,19.58,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000684834_e0000689834.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000698786_e0000703870,0cHIyeLFYOk,698.786,703.87,5.084,1.0,1.0,17.88,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000698786_e0000703870.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
