clip_id,feature_path,label,method,speaker_id,t_mouth,t_w2v,t_prosody,status
bhO764uZyDA_clip0024_t00107_crf40,archive/pilot_v1/04_features_pilot\bhO764uZyDA_clip0024_t00107_crf40.pt,0,real,11,233,465,928,ok
bhO764uZyDA_clip0078_t00487_crf35,archive/pilot_v1/04_features_pilot\bhO764uZyDA_clip0078_t00487_crf35.pt,0,real,11,133,265,528,ok
7637494375840337160_clip0009_t00063_crf30,archive/pilot_v1/04_features_pilot\7637494375840337160_clip0009_t00063_crf30.pt,0,real,13,155,308,614,ok
7637494375840337160_clip0010_t00075_crf35,archive/pilot_v1/04_features_pilot\7637494375840337160_clip0010_t00075_crf35.pt,0,real,13,123,244,486,ok
7634155950047317268_clip0001_t00049_crf23,archive/pilot_v1/04_features_pilot\7634155950047317268_clip0001_t00049_crf23.pt,0,real,15,55,108,215,ok
MpVfVbPdmis_clip0100_t01154_crf40,archive/pilot_v1/04_features_pilot\MpVfVbPdmis_clip0100_t01154_crf40.pt,0,real,16,125,250,498,ok
3tEN20uif6g_clip0051_t00696_crf30,archive/pilot_v1/04_features_pilot\3tEN20uif6g_clip0051_t00696_crf30.pt,0,real,18,93,185,368,ok
7527667777037929735_clip0000_t00012_crf35,archive/pilot_v1/04_features_pilot\7527667777037929735_clip0000_t00012_crf35.pt,0,real,20,62,122,243,ok
7543440536519167240_clip0009_t00081_crf23,archive/pilot_v1/04_features_pilot\7543440536519167240_clip0009_t00081_crf23.pt,0,real,20,57,112,222,ok
7555909386833546514_clip0000_t00008_crf40,archive/pilot_v1/04_features_pilot\7555909386833546514_clip0000_t00008_crf40.pt,0,real,20,85,169,336,ok
7555909386833546514_clip0003_t00024_crf40,archive/pilot_v1/04_features_pilot\7555909386833546514_clip0003_t00024_crf40.pt,0,real,20,51,100,199,ok
7585912681345961224_clip0000_t00000_crf35,archive/pilot_v1/04_features_pilot\7585912681345961224_clip0000_t00000_crf35.pt,0,real,20,113,219,435,ok
7632328977213902100_clip0001_t00057_crf30,archive/pilot_v1/04_features_pilot\7632328977213902100_clip0001_t00057_crf30.pt,0,real,20,56,110,217,ok
NqOg7JCnnm0_clip0049_t00240_crf40,archive/pilot_v1/04_features_pilot\NqOg7JCnnm0_clip0049_t00240_crf40.pt,0,real,21,92,182,361,ok
NqOg7JCnnm0_clip0058_t00286_crf35,archive/pilot_v1/04_features_pilot\NqOg7JCnnm0_clip0058_t00286_crf35.pt,0,real,21,104,206,410,ok
NqOg7JCnnm0_clip0072_t00360_crf30,archive/pilot_v1/04_features_pilot\NqOg7JCnnm0_clip0072_t00360_crf30.pt,0,real,21,67,133,264,ok
NqOg7JCnnm0_clip0110_t00548_crf35,archive/pilot_v1/04_features_pilot\NqOg7JCnnm0_clip0110_t00548_crf35.pt,0,real,21,82,163,324,ok
7638602199739796756_clip0004_t00035_crf30,archive/pilot_v1/04_features_pilot\7638602199739796756_clip0004_t00035_crf30.pt,0,real,23,60,120,238,ok
y3vBfCdY2tQ_clip0020_t00245_crf23,archive/pilot_v1/04_features_pilot\y3vBfCdY2tQ_clip0020_t00245_crf23.pt,0,real,25,60,120,238,ok
y3vBfCdY2tQ_clip0023_t00256_crf35,archive/pilot_v1/04_features_pilot\y3vBfCdY2tQ_clip0023_t00256_crf35.pt,0,real,25,64,128,254,ok
0wOdyRpc0wc_clip0026_t00240_crf23,archive/pilot_v1/04_features_pilot\0wOdyRpc0wc_clip0026_t00240_crf23.pt,0,real,28,134,269,535,ok
P3K1OaKR4nY_clip0013_t00108_crf23,archive/pilot_v1/04_features_pilot\P3K1OaKR4nY_clip0013_t00108_crf23.pt,0,real,28,75,148,294,ok
mHTLamr-Zqk_clip0028_t00315_crf30,archive/pilot_v1/04_features_pilot\mHTLamr-Zqk_clip0028_t00315_crf30.pt,0,real,28,125,250,498,ok
usfv-YmWPBs_clip0039_t00629_crf40,archive/pilot_v1/04_features_pilot\usfv-YmWPBs_clip0039_t00629_crf40.pt,0,real,29,62,122,243,ok
7634060096967806228_clip0029_t00251_crf30,archive/pilot_v1/04_features_pilot\7634060096967806228_clip0029_t00251_crf30.pt,0,real,31,125,250,498,ok
7634060096967806228_clip0033_t00297_crf40,archive/pilot_v1/04_features_pilot\7634060096967806228_clip0033_t00297_crf40.pt,0,real,31,143,286,570,ok
7491284887240985864_clip0020_t00155_crf23,archive/pilot_v1/04_features_pilot\7491284887240985864_clip0020_t00155_crf23.pt,0,real,32,63,126,250,ok
7491284887240985864_clip0025_t00189_crf23,archive/pilot_v1/04_features_pilot\7491284887240985864_clip0025_t00189_crf23.pt,0,real,32,55,108,215,ok
7544723202199538964_clip0008_t00133_crf23,archive/pilot_v1/04_features_pilot\7544723202199538964_clip0008_t00133_crf23.pt,0,real,32,115,228,454,ok
7544723202199538964_clip0009_t00141_crf23,archive/pilot_v1/04_features_pilot\7544723202199538964_clip0009_t00141_crf23.pt,0,real,32,143,285,568,ok
7621911689620901141_clip0004_t00024_crf40,archive/pilot_v1/04_features_pilot\7621911689620901141_clip0004_t00024_crf40.pt,0,real,32,107,213,424,ok
ijoyJhqD740_clip0033_t00495_crf40,archive/pilot_v1/04_features_pilot\ijoyJhqD740_clip0033_t00495_crf40.pt,0,real,34,125,250,498,ok
mHTLamr-Zqk_clip0083_t00825_crf30,archive/pilot_v1/04_features_pilot\mHTLamr-Zqk_clip0083_t00825_crf30.pt,0,real,36,119,238,475,ok
mHTLamr-Zqk_clip0091_t00884_crf40,archive/pilot_v1/04_features_pilot\mHTLamr-Zqk_clip0091_t00884_crf40.pt,0,real,36,125,250,498,ok
mHTLamr-Zqk_clip0095_t00900_crf30,archive/pilot_v1/04_features_pilot\mHTLamr-Zqk_clip0095_t00900_crf30.pt,0,real,36,123,244,486,ok
R5y53Ud7Fs8_clip0001_t00025_crf23,archive/pilot_v1/04_features_pilot\R5y53Ud7Fs8_clip0001_t00025_crf23.pt,0,real,42,70,139,275,ok
R5y53Ud7Fs8_clip0012_t00161_crf23,archive/pilot_v1/04_features_pilot\R5y53Ud7Fs8_clip0012_t00161_crf23.pt,0,real,42,139,277,551,ok
R5y53Ud7Fs8_clip0029_t00283_crf35,archive/pilot_v1/04_features_pilot\R5y53Ud7Fs8_clip0029_t00283_crf35.pt,0,real,42,85,169,336,ok
R5y53Ud7Fs8_clip0053_t00667_crf40,archive/pilot_v1/04_features_pilot\R5y53Ud7Fs8_clip0053_t00667_crf40.pt,0,real,42,109,218,433,ok
R5y53Ud7Fs8_clip0058_t00692_crf23,archive/pilot_v1/04_features_pilot\R5y53Ud7Fs8_clip0058_t00692_crf23.pt,0,real,42,125,250,498,ok
7629698176408210709_clip0001_t00015_crf30,archive/pilot_v1/04_features_pilot\7629698176408210709_clip0001_t00015_crf30.pt,0,real,44,55,108,215,ok
7641466267358072085_clip0000_t00003_crf30,archive/pilot_v1/04_features_pilot\7641466267358072085_clip0000_t00003_crf30.pt,0,real,44,70,139,275,ok
0-fu0N-npmg_clip0060_t00806_crf30,archive/pilot_v1/04_features_pilot\0-fu0N-npmg_clip0060_t00806_crf30.pt,0,real,45,122,243,484,ok
7634865418301213972_clip0002_t00009_crf40,archive/pilot_v1/04_features_pilot\7634865418301213972_clip0002_t00009_crf40.pt,0,real,46,91,180,359,ok
7634865418301213972_clip0004_t00016_crf30,archive/pilot_v1/04_features_pilot\7634865418301213972_clip0004_t00016_crf30.pt,0,real,46,52,103,203,ok
7642360672617106709_clip0001_t00004_crf30,archive/pilot_v1/04_features_pilot\7642360672617106709_clip0001_t00004_crf30.pt,0,real,48,125,250,498,ok
7642360672617106709_clip0011_t00046_crf35,archive/pilot_v1/04_features_pilot\7642360672617106709_clip0011_t00046_crf35.pt,0,real,48,125,250,498,ok
RoXXg62YfpM_clip0011_t00086_crf30,archive/pilot_v1/04_features_pilot\RoXXg62YfpM_clip0011_t00086_crf30.pt,0,real,49,88,175,347,ok
RoXXg62YfpM_clip0058_t00481_crf30,archive/pilot_v1/04_features_pilot\RoXXg62YfpM_clip0058_t00481_crf30.pt,0,real,49,62,122,243,ok
okygVjgD02Y_clip0005_t00044_crf40,archive/pilot_v1/04_features_pilot\okygVjgD02Y_clip0005_t00044_crf40.pt,0,real,49,63,126,250,ok
okygVjgD02Y_clip0041_t00311_crf40,archive/pilot_v1/04_features_pilot\okygVjgD02Y_clip0041_t00311_crf40.pt,0,real,49,73,143,284,ok
okygVjgD02Y_clip0048_t00417_crf35,archive/pilot_v1/04_features_pilot\okygVjgD02Y_clip0048_t00417_crf35.pt,0,real,49,65,129,257,ok
R5y53Ud7Fs8_clip0016_t00181_crf30,archive/pilot_v1/04_features_pilot\R5y53Ud7Fs8_clip0016_t00181_crf30.pt,0,real,51,125,250,498,ok
R5y53Ud7Fs8_clip0043_t00490_crf30,archive/pilot_v1/04_features_pilot\R5y53Ud7Fs8_clip0043_t00490_crf30.pt,0,real,51,81,162,322,ok
R5y53Ud7Fs8_clip0081_t00951_crf35,archive/pilot_v1/04_features_pilot\R5y53Ud7Fs8_clip0081_t00951_crf35.pt,0,real,51,97,193,384,ok
7627812135254494485_clip0001_t00014_crf40,archive/pilot_v1/04_features_pilot\7627812135254494485_clip0001_t00014_crf40.pt,0,real,52,55,108,215,ok
Xigg3vUV2Gw_clip0011_t00110_crf35,archive/pilot_v1/04_features_pilot\Xigg3vUV2Gw_clip0011_t00110_crf35.pt,0,real,57,55,108,215,ok
gHsxuixSqz0_clip0006_t00080_crf35,archive/pilot_v1/04_features_pilot\gHsxuixSqz0_clip0006_t00080_crf35.pt,0,real,58,125,250,498,ok
Nw3N73GJ2Zo_clip0030_t00392_crf35,archive/pilot_v1/04_features_pilot\Nw3N73GJ2Zo_clip0030_t00392_crf35.pt,0,real,60,125,250,498,ok
CHkaAtJLN3E_clip0034_t00584_crf30,archive/pilot_v1/04_features_pilot\CHkaAtJLN3E_clip0034_t00584_crf30.pt,0,real,61,68,134,266,ok
7629698176408210709_clip0004_t00062_crf40,archive/pilot_v1/04_features_pilot\7629698176408210709_clip0004_t00062_crf40.pt,0,real,63,63,126,250,ok
bhO764uZyDA_clip0052_t00278_crf30,archive/pilot_v1/04_features_pilot\bhO764uZyDA_clip0052_t00278_crf30.pt,0,real,65,88,176,349,ok
bhO764uZyDA_clip0053_t00290_crf23,archive/pilot_v1/04_features_pilot\bhO764uZyDA_clip0053_t00290_crf23.pt,0,real,65,103,205,407,ok
bhO764uZyDA_clip0054_t00297_crf35,archive/pilot_v1/04_features_pilot\bhO764uZyDA_clip0054_t00297_crf35.pt,0,real,65,62,122,243,ok
7641562675729681684_clip0000_t00003_crf35,archive/pilot_v1/04_features_pilot\7641562675729681684_clip0000_t00003_crf35.pt,0,real,66,159,319,635,ok
Be0_77S0AyQ_clip0000_t00002_crf40,archive/pilot_v1/04_features_pilot\Be0_77S0AyQ_clip0000_t00002_crf40.pt,0,real,67,99,197,391,ok
Be0_77S0AyQ_clip0009_t00125_crf35,archive/pilot_v1/04_features_pilot\Be0_77S0AyQ_clip0009_t00125_crf35.pt,0,real,67,70,139,275,ok
Be0_77S0AyQ_clip0010_t00144_crf40,archive/pilot_v1/04_features_pilot\Be0_77S0AyQ_clip0010_t00144_crf40.pt,0,real,67,141,281,561,ok
I-uqcg6HtaQ_clip0001_t00015_crf40,archive/pilot_v1/04_features_pilot\I-uqcg6HtaQ_clip0001_t00015_crf40.pt,0,real,71,125,250,498,ok
7549830648442227986_clip0000_t00019_crf40,archive/pilot_v1/04_features_pilot\7549830648442227986_clip0000_t00019_crf40.pt,0,real,72,93,184,366,ok
7550273294079937800_clip0000_t00003_crf30,archive/pilot_v1/04_features_pilot\7550273294079937800_clip0000_t00003_crf30.pt,0,real,72,69,137,273,ok
7557728336403762440_clip0000_t00012_crf35,archive/pilot_v1/04_features_pilot\7557728336403762440_clip0000_t00012_crf35.pt,0,real,72,52,103,203,ok
7577748683672866055_clip0000_t00002_crf40,archive/pilot_v1/04_features_pilot\7577748683672866055_clip0000_t00002_crf40.pt,0,real,72,75,148,294,ok
7577748683672866055_clip0003_t00067_crf23,archive/pilot_v1/04_features_pilot\7577748683672866055_clip0003_t00067_crf23.pt,0,real,72,114,228,454,ok
7581782589204188423_clip0001_t00016_crf35,archive/pilot_v1/04_features_pilot\7581782589204188423_clip0001_t00016_crf35.pt,0,real,72,64,128,254,ok
7614120408689822984_clip0001_t00008_crf30,archive/pilot_v1/04_features_pilot\7614120408689822984_clip0001_t00008_crf30.pt,0,real,72,157,312,621,ok
7638262561955269889_clip0001_t00004_crf30,archive/pilot_v1/04_features_pilot\7638262561955269889_clip0001_t00004_crf30.pt,0,real,73,278,555,1109,ok
u4AumpXc-qc_clip0008_t00059_crf30,archive/pilot_v1/04_features_pilot\u4AumpXc-qc_clip0008_t00059_crf30.pt,0,real,74,80,159,317,ok
7636689448880721173_clip0004_t00022_crf40,archive/pilot_v1/04_features_pilot\7636689448880721173_clip0004_t00022_crf40.pt,0,real,76,141,281,561,ok
7636689448880721173_clip0008_t00048_crf35,archive/pilot_v1/04_features_pilot\7636689448880721173_clip0008_t00048_crf35.pt,0,real,76,180,359,716,ok
7636689448880721173_clip0016_t00115_crf23,archive/pilot_v1/04_features_pilot\7636689448880721173_clip0016_t00115_crf23.pt,0,real,76,55,108,215,ok
F1JQOFSjVZg_clip0039_t00438_crf23,archive/pilot_v1/04_features_pilot\F1JQOFSjVZg_clip0039_t00438_crf23.pt,0,real,83,81,162,322,ok
z0ZM1kEnmJI_clip0009_t00189_crf23,archive/pilot_v1/04_features_pilot\z0ZM1kEnmJI_clip0009_t00189_crf23.pt,0,real,85,125,250,498,ok
MpVfVbPdmis_clip0042_t00533_crf23,archive/pilot_v1/04_features_pilot\MpVfVbPdmis_clip0042_t00533_crf23.pt,0,real,87,273,545,1088,ok
g6hBKVh_7Pk_clip0089_t00874_crf30,archive/pilot_v1/04_features_pilot\g6hBKVh_7Pk_clip0089_t00874_crf30.pt,0,real,89,125,250,498,ok
g6hBKVh_7Pk_clip0090_t00878_crf30,archive/pilot_v1/04_features_pilot\g6hBKVh_7Pk_clip0090_t00878_crf30.pt,0,real,89,125,250,498,ok
7636020413188934919_clip0002_t00153_crf40,archive/pilot_v1/04_features_pilot\7636020413188934919_clip0002_t00153_crf40.pt,0,real,90,138,274,547,ok
2A2WBpeuVNw_clip0012_t00263_crf30,archive/pilot_v1/04_features_pilot\2A2WBpeuVNw_clip0012_t00263_crf30.pt,0,real,92,56,110,217,ok
2A2WBpeuVNw_clip0039_t00512_crf30,archive/pilot_v1/04_features_pilot\2A2WBpeuVNw_clip0039_t00512_crf30.pt,0,real,92,71,141,280,ok
AJ7t8LnesSA_clip0012_t00289_crf30,archive/pilot_v1/04_features_pilot\AJ7t8LnesSA_clip0012_t00289_crf30.pt,0,real,96,100,198,394,ok
aArTJcMMmTw_clip0017_t00310_crf35,archive/pilot_v1/04_features_pilot\aArTJcMMmTw_clip0017_t00310_crf35.pt,0,real,99,126,251,500,ok
aArTJcMMmTw_clip0020_t00325_crf30,archive/pilot_v1/04_features_pilot\aArTJcMMmTw_clip0020_t00325_crf30.pt,0,real,99,87,172,342,ok
FufWLL1IIrQ_clip0048_t00281_crf23,archive/pilot_v1/04_features_pilot\FufWLL1IIrQ_clip0048_t00281_crf23.pt,0,real,100,52,103,203,ok
EMFwAo7a4rg_clip0014_t00311_crf35,archive/pilot_v1/04_features_pilot\EMFwAo7a4rg_clip0014_t00311_crf35.pt,0,real,101,125,250,498,ok
EMFwAo7a4rg_clip0031_t00573_crf35,archive/pilot_v1/04_features_pilot\EMFwAo7a4rg_clip0031_t00573_crf35.pt,0,real,101,125,250,498,ok
qh78i88JEiU_clip0042_t00484_crf40,archive/pilot_v1/04_features_pilot\qh78i88JEiU_clip0042_t00484_crf40.pt,0,real,104,65,129,257,ok
7MhLFqIwNmE_clip0005_t00049_crf23,archive/pilot_v1/04_features_pilot\7MhLFqIwNmE_clip0005_t00049_crf23.pt,0,real,112,87,172,342,ok
l9jY99iqS48_clip0043_t00273_crf23,archive/pilot_v1/04_features_pilot\l9jY99iqS48_clip0043_t00273_crf23.pt,0,real,113,162,323,644,ok
tzfOPG9WhJ0_clip0056_t00362_crf30,archive/pilot_v1/04_features_pilot\tzfOPG9WhJ0_clip0056_t00362_crf30.pt,0,real,113,125,250,498,ok
yWNpIJu2PsI_clip0062_t00394_crf40,archive/pilot_v1/04_features_pilot\yWNpIJu2PsI_clip0062_t00394_crf40.pt,0,real,113,70,139,275,ok
yWNpIJu2PsI_clip0117_t00720_crf40,archive/pilot_v1/04_features_pilot\yWNpIJu2PsI_clip0117_t00720_crf40.pt,0,real,113,156,312,621,ok
g6hBKVh_7Pk_clip0033_t00262_crf23,archive/pilot_v1/04_features_pilot\g6hBKVh_7Pk_clip0033_t00262_crf23.pt,0,real,114,125,250,498,ok
Xigg3vUV2Gw_clip0010_t00102_crf40,archive/pilot_v1/04_features_pilot\Xigg3vUV2Gw_clip0010_t00102_crf40.pt,0,real,115,51,100,199,ok
2A2WBpeuVNw_clip0016_t00294_crf23,archive/pilot_v1/04_features_pilot\2A2WBpeuVNw_clip0016_t00294_crf23.pt,0,real,116,109,218,433,ok
2A2WBpeuVNw_clip0040_t00515_crf40,archive/pilot_v1/04_features_pilot\2A2WBpeuVNw_clip0040_t00515_crf40.pt,0,real,116,88,176,349,ok
TfkrTFbzafQ_clip0020_t00124_crf23,archive/pilot_v1/04_features_pilot\TfkrTFbzafQ_clip0020_t00124_crf23.pt,0,real,120,125,250,498,ok
TfkrTFbzafQ_clip0026_t00149_crf40,archive/pilot_v1/04_features_pilot\TfkrTFbzafQ_clip0026_t00149_crf40.pt,0,real,120,125,250,498,ok
usfv-YmWPBs_clip0015_t00309_crf30,archive/pilot_v1/04_features_pilot\usfv-YmWPBs_clip0015_t00309_crf30.pt,0,real,123,76,151,301,ok
7637494375840337160_clip0004_t00027_crf40,archive/pilot_v1/04_features_pilot\7637494375840337160_clip0004_t00027_crf40.pt,0,real,124,65,128,254,ok
7637494375840337160_clip0008_t00054_crf35,archive/pilot_v1/04_features_pilot\7637494375840337160_clip0008_t00054_crf35.pt,0,real,124,217,431,860,ok
7625975365168663828_clip0000_t00001_crf35,archive/pilot_v1/04_features_pilot\7625975365168663828_clip0000_t00001_crf35.pt,0,real,126,68,134,266,ok
FufWLL1IIrQ_clip0006_t00045_crf35,archive/pilot_v1/04_features_pilot\FufWLL1IIrQ_clip0006_t00045_crf35.pt,0,real,127,120,240,477,ok
FufWLL1IIrQ_clip0007_t00051_crf23,archive/pilot_v1/04_features_pilot\FufWLL1IIrQ_clip0007_t00051_crf23.pt,0,real,127,108,214,426,ok
RY6V7DqGnTw_clip0013_t00149_crf35,archive/pilot_v1/04_features_pilot\RY6V7DqGnTw_clip0013_t00149_crf35.pt,0,real,128,124,248,493,ok
RY6V7DqGnTw_clip0017_t00176_crf35,archive/pilot_v1/04_features_pilot\RY6V7DqGnTw_clip0017_t00176_crf35.pt,0,real,128,93,184,366,ok
RY6V7DqGnTw_clip0064_t00472_crf30,archive/pilot_v1/04_features_pilot\RY6V7DqGnTw_clip0064_t00472_crf30.pt,0,real,128,87,172,342,ok
RY6V7DqGnTw_clip0089_t00646_crf40,archive/pilot_v1/04_features_pilot\RY6V7DqGnTw_clip0089_t00646_crf40.pt,0,real,128,51,100,199,ok
RY6V7DqGnTw_clip0125_t00852_crf40,archive/pilot_v1/04_features_pilot\RY6V7DqGnTw_clip0125_t00852_crf40.pt,0,real,128,54,107,212,ok
ouCPqISuqAU_clip0000_t00001_crf35,archive/pilot_v1/04_features_pilot\ouCPqISuqAU_clip0000_t00001_crf35.pt,0,real,129,83,164,326,ok
ouCPqISuqAU_clip0023_t00145_crf30,archive/pilot_v1/04_features_pilot\ouCPqISuqAU_clip0023_t00145_crf30.pt,0,real,129,56,110,217,ok
ouCPqISuqAU_clip0057_t00335_crf35,archive/pilot_v1/04_features_pilot\ouCPqISuqAU_clip0057_t00335_crf35.pt,0,real,129,96,192,382,ok
ouCPqISuqAU_clip0065_t00374_crf40,archive/pilot_v1/04_features_pilot\ouCPqISuqAU_clip0065_t00374_crf40.pt,0,real,129,55,108,215,ok
ouCPqISuqAU_clip0074_t00429_crf40,archive/pilot_v1/04_features_pilot\ouCPqISuqAU_clip0074_t00429_crf40.pt,0,real,129,81,162,322,ok
ouCPqISuqAU_clip0098_t00584_crf23,archive/pilot_v1/04_features_pilot\ouCPqISuqAU_clip0098_t00584_crf23.pt,0,real,129,55,108,215,ok
ouCPqISuqAU_clip0102_t00605_crf35,archive/pilot_v1/04_features_pilot\ouCPqISuqAU_clip0102_t00605_crf35.pt,0,real,129,212,422,842,ok
g6hBKVh_7Pk_clip0012_t00091_crf23,archive/pilot_v1/04_features_pilot\g6hBKVh_7Pk_clip0012_t00091_crf23.pt,0,real,130,125,250,498,ok
EMFwAo7a4rg_clip0008_t00197_crf40,archive/pilot_v1/04_features_pilot\EMFwAo7a4rg_clip0008_t00197_crf40.pt,0,real,137,78,155,308,ok
EMFwAo7a4rg_clip0017_t00341_crf40,archive/pilot_v1/04_features_pilot\EMFwAo7a4rg_clip0017_t00341_crf40.pt,0,real,137,66,130,259,ok
UnodrLYWJYI_clip0049_t00474_crf35,archive/pilot_v1/04_features_pilot\UnodrLYWJYI_clip0049_t00474_crf35.pt,0,real,138,78,155,308,ok
UnodrLYWJYI_clip0054_t00528_crf40,archive/pilot_v1/04_features_pilot\UnodrLYWJYI_clip0054_t00528_crf40.pt,0,real,138,108,214,426,ok
RoXXg62YfpM_clip0062_t00540_crf23,archive/pilot_v1/04_features_pilot\RoXXg62YfpM_clip0062_t00540_crf23.pt,0,real,139,122,243,484,ok
_UEZaDjz02I_clip0048_t00511_crf35,archive/pilot_v1/04_features_pilot\_UEZaDjz02I_clip0048_t00511_crf35.pt,0,real,139,86,171,340,ok
okygVjgD02Y_clip0023_t00153_crf23,archive/pilot_v1/04_features_pilot\okygVjgD02Y_clip0023_t00153_crf23.pt,0,real,139,99,197,391,ok
okygVjgD02Y_clip0038_t00290_crf35,archive/pilot_v1/04_features_pilot\okygVjgD02Y_clip0038_t00290_crf35.pt,0,real,139,125,250,498,ok
7635520940717395221_clip0001_t00056_crf23,archive/pilot_v1/04_features_pilot\7635520940717395221_clip0001_t00056_crf23.pt,0,real,140,54,107,212,ok
FufWLL1IIrQ_clip0026_t00165_crf35,archive/pilot_v1/04_features_pilot\FufWLL1IIrQ_clip0026_t00165_crf35.pt,0,real,144,136,272,542,ok
