clip_id,file_path,label,method,param,source_clip,source_video,speaker_id,tier,timeline_schema_version,timeline_mask_policy,timeline_boundary,timeline_duration_s,audio_valid_start_s,audio_valid_end_s,visual_valid_start_s,visual_valid_end_s,manipulation_scope,manipulation_start_s,manipulation_end_s
XwMwDTPAyAo_clip0039_t00629_flatv2mean145hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\XwMwDTPAyAo_clip0039_t00629_flatv2mean145hz.mp4,1,pitch_flatten,flatten_mean_F0=145Hz;generator=pitch_flatten_v2_exact_timeline_v1,XwMwDTPAyAo_clip0039_t00629,XwMwDTPAyAo,27,tier1,av_timeline_v1,fixed_common_window_v1,native,4.200000000,0.000000000,4.188000000,0.000000000,4.200000000,global,0.000000000,4.188000000
XwMwDTPAyAo_clip0039_t00629_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\XwMwDTPAyAo_clip0039_t00629_anonv2blu.mp4,1,anonymization,"blur_box=467,157,240,369;sigma=0;generator=anonymization_v2_exact_timeline_v1",XwMwDTPAyAo_clip0039_t00629,XwMwDTPAyAo,27,tier1,av_timeline_v1,fixed_common_window_v1,native,4.200000000,0.000000000,4.188000000,0.000000000,4.200000000,global,0.000000000,4.188000000
jfQzsbl5zZc_clip0053_t00303_desyncv2r2p3f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\jfQzsbl5zZc_clip0053_t00303_desyncv2r2p3f.mp4,1,temporal_desync,shift=3f;generator=temporal_v2_structured_timeline_v1,jfQzsbl5zZc_clip0053_t00303,jfQzsbl5zZc,268,tier1,av_timeline_v1,fixed_common_window_v1,circular_wrap,5.005000000,0.100100000,5.000000000,0.000000000,4.904900000,global,0.100100000,4.904900000
jfQzsbl5zZc_clip0053_t00303_revv2f13-41,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\frame_reverse\jfQzsbl5zZc_clip0053_t00303_revv2f13-41.mp4,1,frame_reverse,"reverse_frames=[13,41);generator=frame_reverse_v2_exact_timeline_v1",jfQzsbl5zZc_clip0053_t00303,jfQzsbl5zZc,268,tier1,av_timeline_v1,fixed_common_window_v1,native,5.005000000,0.000000000,5.000000000,0.000000000,5.005000000,local,0.433766667,1.368033333
jfQzsbl5zZc_clip0053_t00303_flatv2mean202hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\jfQzsbl5zZc_clip0053_t00303_flatv2mean202hz.mp4,1,pitch_flatten,flatten_mean_F0=202Hz;generator=pitch_flatten_v2_exact_timeline_v1,jfQzsbl5zZc_clip0053_t00303,jfQzsbl5zZc,268,tier1,av_timeline_v1,fixed_common_window_v1,native,5.005000000,0.000000000,5.000000000,0.000000000,5.005000000,global,0.000000000,5.000000000
jfQzsbl5zZc_clip0053_t00303_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\jfQzsbl5zZc_clip0053_t00303_anonv2blu.mp4,1,anonymization,"blur_box=373,152,535,583;sigma=0;generator=anonymization_v2_exact_timeline_v1",jfQzsbl5zZc_clip0053_t00303,jfQzsbl5zZc,268,tier1,av_timeline_v1,fixed_common_window_v1,native,5.005000000,0.000000000,5.000000000,0.000000000,5.005000000,global,0.000000000,5.000000000
ztblIi_pMPE_clip0003_t00213_desyncv2r2p15f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\ztblIi_pMPE_clip0003_t00213_desyncv2r2p15f.mp4,1,temporal_desync,shift=15f;generator=temporal_v2_structured_timeline_v1,ztblIi_pMPE_clip0003_t00213,ztblIi_pMPE,156,tier1,av_timeline_v1,fixed_common_window_v1,circular_wrap,4.320000000,0.600000000,4.283990930,0.000000000,3.720000000,global,0.600000000,3.720000000
ztblIi_pMPE_clip0003_t00213_revv2f5-20,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\frame_reverse\ztblIi_pMPE_clip0003_t00213_revv2f5-20.mp4,1,frame_reverse,"reverse_frames=[5,20);generator=frame_reverse_v2_exact_timeline_v1",ztblIi_pMPE_clip0003_t00213,ztblIi_pMPE,156,tier1,av_timeline_v1,fixed_common_window_v1,native,4.320000000,0.000000000,4.284000000,0.000000000,4.320000000,local,0.200000000,0.800000000
ztblIi_pMPE_clip0003_t00213_flatv2mean146hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\ztblIi_pMPE_clip0003_t00213_flatv2mean146hz.mp4,1,pitch_flatten,flatten_mean_F0=146Hz;generator=pitch_flatten_v2_exact_timeline_v1,ztblIi_pMPE_clip0003_t00213,ztblIi_pMPE,156,tier1,av_timeline_v1,fixed_common_window_v1,native,4.320000000,0.000000000,4.284000000,0.000000000,4.320000000,global,0.000000000,4.284000000
ztblIi_pMPE_clip0003_t00213_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\ztblIi_pMPE_clip0003_t00213_anonv2blu.mp4,1,anonymization,"blur_box=374,208,434,506;sigma=0;generator=anonymization_v2_exact_timeline_v1",ztblIi_pMPE_clip0003_t00213,ztblIi_pMPE,156,tier1,av_timeline_v1,fixed_common_window_v1,native,4.320000000,0.000000000,4.284000000,0.000000000,4.320000000,global,0.000000000,4.284000000
0PsGwmgAI-k_clip0001_t00039_desyncv2r2m15f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\0PsGwmgAI-k_clip0001_t00039_desyncv2r2m15f.mp4,1,temporal_desync,shift=-15f;generator=temporal_v2_structured_timeline_v1,0PsGwmgAI-k_clip0001_t00039,0PsGwmgAI-k,276,tier2,av_timeline_v1,fixed_common_window_v1,circular_wrap,5.000000000,0.000000000,4.488004535,0.500000000,5.000000000,global,0.500000000,4.488004535
0PsGwmgAI-k_clip0001_t00039_revv2f69-83,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\frame_reverse\0PsGwmgAI-k_clip0001_t00039_revv2f69-83.mp4,1,frame_reverse,"reverse_frames=[69,83);generator=frame_reverse_v2_exact_timeline_v1",0PsGwmgAI-k_clip0001_t00039,0PsGwmgAI-k,276,tier2,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,4.988000000,0.000000000,5.000000000,local,2.300000000,2.766666667
0PsGwmgAI-k_clip0001_t00039_flatv2mean127hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\0PsGwmgAI-k_clip0001_t00039_flatv2mean127hz.mp4,1,pitch_flatten,flatten_mean_F0=127Hz;generator=pitch_flatten_v2_exact_timeline_v1,0PsGwmgAI-k_clip0001_t00039,0PsGwmgAI-k,276,tier2,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,4.988000000,0.000000000,5.000000000,global,0.000000000,4.988000000
0PsGwmgAI-k_clip0001_t00039_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\0PsGwmgAI-k_clip0001_t00039_anonv2blu.mp4,1,anonymization,"blur_box=813,123,311,359;sigma=0;generator=anonymization_v2_exact_timeline_v1",0PsGwmgAI-k_clip0001_t00039,0PsGwmgAI-k,276,tier2,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,4.988000000,0.000000000,5.000000000,global,0.000000000,4.988000000
FufWLL1IIrQ_clip0048_t00281_desyncv2r2p3f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\FufWLL1IIrQ_clip0048_t00281_desyncv2r2p3f.mp4,1,temporal_desync,shift=3f;generator=temporal_v2_structured_timeline_v1,FufWLL1IIrQ_clip0048_t00281,FufWLL1IIrQ,100,tier2,av_timeline_v1,fixed_common_window_v1,circular_wrap,2.068733000,0.100100000,2.043990930,0.000000000,1.968633000,global,0.100100000,1.968633000
FufWLL1IIrQ_clip0048_t00281_revv2f12-22,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\frame_reverse\FufWLL1IIrQ_clip0048_t00281_revv2f12-22.mp4,1,frame_reverse,"reverse_frames=[12,22);generator=frame_reverse_v2_exact_timeline_v1",FufWLL1IIrQ_clip0048_t00281,FufWLL1IIrQ,100,tier2,av_timeline_v1,fixed_common_window_v1,native,2.068733333,0.000000000,2.044000000,0.000000000,2.068733333,local,0.400400000,0.734066667
FufWLL1IIrQ_clip0048_t00281_flatv2mean133hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\FufWLL1IIrQ_clip0048_t00281_flatv2mean133hz.mp4,1,pitch_flatten,flatten_mean_F0=133Hz;generator=pitch_flatten_v2_exact_timeline_v1,FufWLL1IIrQ_clip0048_t00281,FufWLL1IIrQ,100,tier2,av_timeline_v1,fixed_common_window_v1,native,2.068733333,0.000000000,2.044000000,0.000000000,2.068733333,global,0.000000000,2.044000000
FufWLL1IIrQ_clip0048_t00281_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\FufWLL1IIrQ_clip0048_t00281_anonv2blu.mp4,1,anonymization,"blur_box=534,291,329,477;sigma=0;generator=anonymization_v2_exact_timeline_v1",FufWLL1IIrQ_clip0048_t00281,FufWLL1IIrQ,100,tier2,av_timeline_v1,fixed_common_window_v1,native,2.068733333,0.000000000,2.044000000,0.000000000,2.068733333,global,0.000000000,2.044000000
UnodrLYWJYI_clip0033_t00368_desyncv2r2p3f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\UnodrLYWJYI_clip0033_t00368_desyncv2r2p3f.mp4,1,temporal_desync,shift=3f;generator=temporal_v2_structured_timeline_v1,UnodrLYWJYI_clip0033_t00368,UnodrLYWJYI,466,tier2,av_timeline_v1,fixed_common_window_v1,circular_wrap,6.900000000,0.100000000,6.876009070,0.000000000,6.800000000,global,0.100000000,6.800000000
UnodrLYWJYI_clip0033_t00368_revv2f100-123,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\frame_reverse\UnodrLYWJYI_clip0033_t00368_revv2f100-123.mp4,1,frame_reverse,"reverse_frames=[100,123);generator=frame_reverse_v2_exact_timeline_v1",UnodrLYWJYI_clip0033_t00368,UnodrLYWJYI,466,tier2,av_timeline_v1,fixed_common_window_v1,native,6.900000000,0.000000000,6.876000000,0.000000000,6.900000000,local,3.333333333,4.100000000
UnodrLYWJYI_clip0033_t00368_flatv2mean205hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\UnodrLYWJYI_clip0033_t00368_flatv2mean205hz.mp4,1,pitch_flatten,flatten_mean_F0=205Hz;generator=pitch_flatten_v2_exact_timeline_v1,UnodrLYWJYI_clip0033_t00368,UnodrLYWJYI,466,tier2,av_timeline_v1,fixed_common_window_v1,native,6.900000000,0.000000000,6.876000000,0.000000000,6.900000000,global,0.000000000,6.876000000
UnodrLYWJYI_clip0033_t00368_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\UnodrLYWJYI_clip0033_t00368_anonv2blu.mp4,1,anonymization,"blur_box=371,264,227,346;sigma=0;generator=anonymization_v2_exact_timeline_v1",UnodrLYWJYI_clip0033_t00368,UnodrLYWJYI,466,tier2,av_timeline_v1,fixed_common_window_v1,native,6.900000000,0.000000000,6.876000000,0.000000000,6.900000000,global,0.000000000,6.876000000
mHTLamr-Zqk_clip0009_t00132_desyncv2r2p3f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\mHTLamr-Zqk_clip0009_t00132_desyncv2r2p3f.mp4,1,temporal_desync,shift=3f;generator=temporal_v2_structured_timeline_v1,mHTLamr-Zqk_clip0009_t00132,mHTLamr-Zqk,208,tier2,av_timeline_v1,fixed_common_window_v1,circular_wrap,5.000000000,0.100000000,5.000000000,0.000000000,4.900000000,global,0.100000000,4.900000000
mHTLamr-Zqk_clip0009_t00132_revv2f80-94,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\frame_reverse\mHTLamr-Zqk_clip0009_t00132_revv2f80-94.mp4,1,frame_reverse,"reverse_frames=[80,94);generator=frame_reverse_v2_exact_timeline_v1",mHTLamr-Zqk_clip0009_t00132,mHTLamr-Zqk,208,tier2,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,5.000000000,0.000000000,5.000000000,local,2.666666667,3.133333333
mHTLamr-Zqk_clip0009_t00132_flatv2mean216hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\mHTLamr-Zqk_clip0009_t00132_flatv2mean216hz.mp4,1,pitch_flatten,flatten_mean_F0=216Hz;generator=pitch_flatten_v2_exact_timeline_v1,mHTLamr-Zqk_clip0009_t00132,mHTLamr-Zqk,208,tier2,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,5.000000000,0.000000000,5.000000000,global,0.000000000,5.000000000
mHTLamr-Zqk_clip0009_t00132_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\mHTLamr-Zqk_clip0009_t00132_anonv2blu.mp4,1,anonymization,"blur_box=1219,142,285,372;sigma=0;generator=anonymization_v2_exact_timeline_v1",mHTLamr-Zqk_clip0009_t00132,mHTLamr-Zqk,208,tier2,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,5.000000000,0.000000000,5.000000000,global,0.000000000,5.000000000
wKaFsRX95YY_clip0049_t00569_desyncv2r2p15f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\wKaFsRX95YY_clip0049_t00569_desyncv2r2p15f.mp4,1,temporal_desync,shift=15f;generator=temporal_v2_structured_timeline_v1,wKaFsRX95YY_clip0049_t00569,wKaFsRX95YY,940,tier2,av_timeline_v1,fixed_common_window_v1,circular_wrap,5.920000000,0.600000000,5.916009070,0.000000000,5.320000000,global,0.600000000,5.320000000
wKaFsRX95YY_clip0049_t00569_revv2f3-25,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\frame_reverse\wKaFsRX95YY_clip0049_t00569_revv2f3-25.mp4,1,frame_reverse,"reverse_frames=[3,25);generator=frame_reverse_v2_exact_timeline_v1",wKaFsRX95YY_clip0049_t00569,wKaFsRX95YY,940,tier2,av_timeline_v1,fixed_common_window_v1,native,5.920000000,0.000000000,5.916000000,0.000000000,5.920000000,local,0.120000000,1.000000000
wKaFsRX95YY_clip0049_t00569_flatv2mean238hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\wKaFsRX95YY_clip0049_t00569_flatv2mean238hz.mp4,1,pitch_flatten,flatten_mean_F0=238Hz;generator=pitch_flatten_v2_exact_timeline_v1,wKaFsRX95YY_clip0049_t00569,wKaFsRX95YY,940,tier2,av_timeline_v1,fixed_common_window_v1,native,5.920000000,0.000000000,5.916000000,0.000000000,5.920000000,global,0.000000000,5.916000000
wKaFsRX95YY_clip0049_t00569_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\wKaFsRX95YY_clip0049_t00569_anonv2blu.mp4,1,anonymization,"blur_box=385,151,1096,500;sigma=0;generator=anonymization_v2_exact_timeline_v1",wKaFsRX95YY_clip0049_t00569,wKaFsRX95YY,940,tier2,av_timeline_v1,fixed_common_window_v1,native,5.920000000,0.000000000,5.916000000,0.000000000,5.920000000,global,0.000000000,5.916000000
7583660080017444104_clip0007_t00062_desyncv2r2m3f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\7583660080017444104_clip0007_t00062_desyncv2r2m3f.mp4,1,temporal_desync,shift=-3f;generator=temporal_v2_structured_timeline_v1,7583660080017444104_clip0007_t00062,7583660080017444104,72,tier3,av_timeline_v1,fixed_common_window_v1,circular_wrap,2.066667000,0.000000000,1.943990930,0.100000000,2.066667000,global,0.100000000,1.943990930
7583660080017444104_clip0007_t00062_revv2f9-25,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\frame_reverse\7583660080017444104_clip0007_t00062_revv2f9-25.mp4,1,frame_reverse,"reverse_frames=[9,25);generator=frame_reverse_v2_exact_timeline_v1",7583660080017444104_clip0007_t00062,7583660080017444104,72,tier3,av_timeline_v1,fixed_common_window_v1,native,2.066666667,0.000000000,2.044000000,0.000000000,2.066666667,local,0.300000000,0.833333333
7583660080017444104_clip0007_t00062_flatv2mean288hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\7583660080017444104_clip0007_t00062_flatv2mean288hz.mp4,1,pitch_flatten,flatten_mean_F0=288Hz;generator=pitch_flatten_v2_exact_timeline_v1,7583660080017444104_clip0007_t00062,7583660080017444104,72,tier3,av_timeline_v1,fixed_common_window_v1,native,2.066666667,0.000000000,2.044000000,0.000000000,2.066666667,global,0.000000000,2.044000000
7583660080017444104_clip0007_t00062_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\7583660080017444104_clip0007_t00062_anonv2blu.mp4,1,anonymization,"blur_box=213,652,713,745;sigma=0;generator=anonymization_v2_exact_timeline_v1",7583660080017444104_clip0007_t00062,7583660080017444104,72,tier3,av_timeline_v1,fixed_common_window_v1,native,2.066666667,0.000000000,2.044000000,0.000000000,2.066666667,global,0.000000000,2.044000000
7634057975606365461_clip0001_t00052_desyncv2r2m15f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\7634057975606365461_clip0001_t00052_desyncv2r2m15f.mp4,1,temporal_desync,shift=-15f;generator=temporal_v2_structured_timeline_v1,7634057975606365461_clip0001_t00052,7634057975606365461,311,tier3,av_timeline_v1,fixed_common_window_v1,circular_wrap,3.966667000,0.000000000,3.463990930,0.500000000,3.966667000,global,0.500000000,3.463990930
7634057975606365461_clip0001_t00052_revv2f31-60,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\frame_reverse\7634057975606365461_clip0001_t00052_revv2f31-60.mp4,1,frame_reverse,"reverse_frames=[31,60);generator=frame_reverse_v2_exact_timeline_v1",7634057975606365461_clip0001_t00052,7634057975606365461,311,tier3,av_timeline_v1,fixed_common_window_v1,native,3.966666667,0.000000000,3.964000000,0.000000000,3.966666667,local,1.033333333,2.000000000
7634057975606365461_clip0001_t00052_flatv2mean171hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\7634057975606365461_clip0001_t00052_flatv2mean171hz.mp4,1,pitch_flatten,flatten_mean_F0=171Hz;generator=pitch_flatten_v2_exact_timeline_v1,7634057975606365461_clip0001_t00052,7634057975606365461,311,tier3,av_timeline_v1,fixed_common_window_v1,native,3.966666667,0.000000000,3.964000000,0.000000000,3.966666667,global,0.000000000,3.964000000
7634057975606365461_clip0001_t00052_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\7634057975606365461_clip0001_t00052_anonv2blu.mp4,1,anonymization,"blur_box=17,401,738,577;sigma=0;generator=anonymization_v2_exact_timeline_v1",7634057975606365461_clip0001_t00052,7634057975606365461,311,tier3,av_timeline_v1,fixed_common_window_v1,native,3.966666667,0.000000000,3.964000000,0.000000000,3.966666667,global,0.000000000,3.964000000
