clip_id,file_path,label,method,param,source_clip,source_video,speaker_id,tier,timeline_schema_version,timeline_mask_policy,timeline_boundary,timeline_duration_s,audio_valid_start_s,audio_valid_end_s,visual_valid_start_s,visual_valid_end_s,manipulation_scope,manipulation_start_s,manipulation_end_s,crf,orig_clip_id,snvsm_version,snvsm_config_id,snvsm_encoder,snvsm_preset,snvsm_audio,snvsm_sample_rate,snvsm_channels,snvsm_target_samples,snvsm_mode,snvsm_crf_set,snvsm_seed,snvsm_pair_key,snvsm_video_frames,snvsm_video_fps,snvsm_video_duration_s
XwMwDTPAyAo_clip0039_t00629_flatv2mean145hz_snvsmv2_470c00f4ee_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\XwMwDTPAyAo_clip0039_t00629_flatv2mean145hz_snvsmv2_470c00f4ee_crf23.mp4,1,pitch_flatten,flatten_mean_F0=145Hz;generator=pitch_flatten_v2_exact_timeline_v1,XwMwDTPAyAo_clip0039_t00629,XwMwDTPAyAo,27,tier1,av_timeline_v1,fixed_common_window_v1,native,4.200000000,0.000000000,4.188000000,0.000000000,4.200000000,global,0.000000000,4.188000000,23,XwMwDTPAyAo_clip0039_t00629_flatv2mean145hz,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,67008,random,"23,30,35,40",42,XwMwDTPAyAo_clip0039_t00629,105,25,4.200000000
XwMwDTPAyAo_clip0039_t00629_anonv2blu_snvsmv2_470c00f4ee_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\XwMwDTPAyAo_clip0039_t00629_anonv2blu_snvsmv2_470c00f4ee_crf23.mp4,1,anonymization,"blur_box=467,157,240,369;sigma=0;generator=anonymization_v2_exact_timeline_v1",XwMwDTPAyAo_clip0039_t00629,XwMwDTPAyAo,27,tier1,av_timeline_v1,fixed_common_window_v1,native,4.200000000,0.000000000,4.188000000,0.000000000,4.200000000,global,0.000000000,4.188000000,23,XwMwDTPAyAo_clip0039_t00629_anonv2blu,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,67008,random,"23,30,35,40",42,XwMwDTPAyAo_clip0039_t00629,105,25,4.200000000
jfQzsbl5zZc_clip0053_t00303_desyncv2r2p3f_snvsmv2_470c00f4ee_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\jfQzsbl5zZc_clip0053_t00303_desyncv2r2p3f_snvsmv2_470c00f4ee_crf35.mp4,1,temporal_desync,shift=3f;generator=temporal_v2_structured_timeline_v1,jfQzsbl5zZc_clip0053_t00303,jfQzsbl5zZc,268,tier1,av_timeline_v1,fixed_common_window_v1,circular_wrap,5.005000000,0.100100000,5.000000000,0.000000000,4.904900000,global,0.100100000,4.904900000,35,jfQzsbl5zZc_clip0053_t00303_desyncv2r2p3f,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,80000,random,"23,30,35,40",42,jfQzsbl5zZc_clip0053_t00303,150,30000/1001,5.005000000
jfQzsbl5zZc_clip0053_t00303_revv2f13-41_snvsmv2_470c00f4ee_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\jfQzsbl5zZc_clip0053_t00303_revv2f13-41_snvsmv2_470c00f4ee_crf35.mp4,1,frame_reverse,"reverse_frames=[13,41);generator=frame_reverse_v2_exact_timeline_v1",jfQzsbl5zZc_clip0053_t00303,jfQzsbl5zZc,268,tier1,av_timeline_v1,fixed_common_window_v1,native,5.005000000,0.000000000,5.000000000,0.000000000,5.005000000,local,0.433766667,1.368033333,35,jfQzsbl5zZc_clip0053_t00303_revv2f13-41,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,80000,random,"23,30,35,40",42,jfQzsbl5zZc_clip0053_t00303,150,30000/1001,5.005000000
jfQzsbl5zZc_clip0053_t00303_flatv2mean202hz_snvsmv2_470c00f4ee_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\jfQzsbl5zZc_clip0053_t00303_flatv2mean202hz_snvsmv2_470c00f4ee_crf35.mp4,1,pitch_flatten,flatten_mean_F0=202Hz;generator=pitch_flatten_v2_exact_timeline_v1,jfQzsbl5zZc_clip0053_t00303,jfQzsbl5zZc,268,tier1,av_timeline_v1,fixed_common_window_v1,native,5.005000000,0.000000000,5.000000000,0.000000000,5.005000000,global,0.000000000,5.000000000,35,jfQzsbl5zZc_clip0053_t00303_flatv2mean202hz,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,80000,random,"23,30,35,40",42,jfQzsbl5zZc_clip0053_t00303,150,30000/1001,5.005000000
jfQzsbl5zZc_clip0053_t00303_anonv2blu_snvsmv2_470c00f4ee_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\jfQzsbl5zZc_clip0053_t00303_anonv2blu_snvsmv2_470c00f4ee_crf35.mp4,1,anonymization,"blur_box=373,152,535,583;sigma=0;generator=anonymization_v2_exact_timeline_v1",jfQzsbl5zZc_clip0053_t00303,jfQzsbl5zZc,268,tier1,av_timeline_v1,fixed_common_window_v1,native,5.005000000,0.000000000,5.000000000,0.000000000,5.005000000,global,0.000000000,5.000000000,35,jfQzsbl5zZc_clip0053_t00303_anonv2blu,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,80000,random,"23,30,35,40",42,jfQzsbl5zZc_clip0053_t00303,150,30000/1001,5.005000000
ztblIi_pMPE_clip0003_t00213_desyncv2r2p15f_snvsmv2_470c00f4ee_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\ztblIi_pMPE_clip0003_t00213_desyncv2r2p15f_snvsmv2_470c00f4ee_crf30.mp4,1,temporal_desync,shift=15f;generator=temporal_v2_structured_timeline_v1,ztblIi_pMPE_clip0003_t00213,ztblIi_pMPE,156,tier1,av_timeline_v1,fixed_common_window_v1,circular_wrap,4.320000000,0.600000000,4.283990930,0.000000000,3.720000000,global,0.600000000,3.720000000,30,ztblIi_pMPE_clip0003_t00213_desyncv2r2p15f,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,68544,random,"23,30,35,40",42,ztblIi_pMPE_clip0003_t00213,108,25,4.320000000
ztblIi_pMPE_clip0003_t00213_revv2f5-20_snvsmv2_470c00f4ee_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\ztblIi_pMPE_clip0003_t00213_revv2f5-20_snvsmv2_470c00f4ee_crf30.mp4,1,frame_reverse,"reverse_frames=[5,20);generator=frame_reverse_v2_exact_timeline_v1",ztblIi_pMPE_clip0003_t00213,ztblIi_pMPE,156,tier1,av_timeline_v1,fixed_common_window_v1,native,4.320000000,0.000000000,4.284000000,0.000000000,4.320000000,local,0.200000000,0.800000000,30,ztblIi_pMPE_clip0003_t00213_revv2f5-20,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,68544,random,"23,30,35,40",42,ztblIi_pMPE_clip0003_t00213,108,25,4.320000000
ztblIi_pMPE_clip0003_t00213_flatv2mean146hz_snvsmv2_470c00f4ee_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\ztblIi_pMPE_clip0003_t00213_flatv2mean146hz_snvsmv2_470c00f4ee_crf30.mp4,1,pitch_flatten,flatten_mean_F0=146Hz;generator=pitch_flatten_v2_exact_timeline_v1,ztblIi_pMPE_clip0003_t00213,ztblIi_pMPE,156,tier1,av_timeline_v1,fixed_common_window_v1,native,4.320000000,0.000000000,4.284000000,0.000000000,4.320000000,global,0.000000000,4.284000000,30,ztblIi_pMPE_clip0003_t00213_flatv2mean146hz,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,68544,random,"23,30,35,40",42,ztblIi_pMPE_clip0003_t00213,108,25,4.320000000
ztblIi_pMPE_clip0003_t00213_anonv2blu_snvsmv2_470c00f4ee_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\ztblIi_pMPE_clip0003_t00213_anonv2blu_snvsmv2_470c00f4ee_crf30.mp4,1,anonymization,"blur_box=374,208,434,506;sigma=0;generator=anonymization_v2_exact_timeline_v1",ztblIi_pMPE_clip0003_t00213,ztblIi_pMPE,156,tier1,av_timeline_v1,fixed_common_window_v1,native,4.320000000,0.000000000,4.284000000,0.000000000,4.320000000,global,0.000000000,4.284000000,30,ztblIi_pMPE_clip0003_t00213_anonv2blu,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,68544,random,"23,30,35,40",42,ztblIi_pMPE_clip0003_t00213,108,25,4.320000000
0PsGwmgAI-k_clip0001_t00039_desyncv2r2m15f_snvsmv2_470c00f4ee_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\0PsGwmgAI-k_clip0001_t00039_desyncv2r2m15f_snvsmv2_470c00f4ee_crf35.mp4,1,temporal_desync,shift=-15f;generator=temporal_v2_structured_timeline_v1,0PsGwmgAI-k_clip0001_t00039,0PsGwmgAI-k,276,tier2,av_timeline_v1,fixed_common_window_v1,circular_wrap,5.000000000,0.000000000,4.488004535,0.500000000,5.000000000,global,0.500000000,4.488004535,35,0PsGwmgAI-k_clip0001_t00039_desyncv2r2m15f,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,79808,random,"23,30,35,40",42,0PsGwmgAI-k_clip0001_t00039,150,30,5.000000000
0PsGwmgAI-k_clip0001_t00039_revv2f69-83_snvsmv2_470c00f4ee_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\0PsGwmgAI-k_clip0001_t00039_revv2f69-83_snvsmv2_470c00f4ee_crf35.mp4,1,frame_reverse,"reverse_frames=[69,83);generator=frame_reverse_v2_exact_timeline_v1",0PsGwmgAI-k_clip0001_t00039,0PsGwmgAI-k,276,tier2,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,4.988000000,0.000000000,5.000000000,local,2.300000000,2.766666667,35,0PsGwmgAI-k_clip0001_t00039_revv2f69-83,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,79808,random,"23,30,35,40",42,0PsGwmgAI-k_clip0001_t00039,150,30,5.000000000
0PsGwmgAI-k_clip0001_t00039_flatv2mean127hz_snvsmv2_470c00f4ee_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\0PsGwmgAI-k_clip0001_t00039_flatv2mean127hz_snvsmv2_470c00f4ee_crf35.mp4,1,pitch_flatten,flatten_mean_F0=127Hz;generator=pitch_flatten_v2_exact_timeline_v1,0PsGwmgAI-k_clip0001_t00039,0PsGwmgAI-k,276,tier2,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,4.988000000,0.000000000,5.000000000,global,0.000000000,4.988000000,35,0PsGwmgAI-k_clip0001_t00039_flatv2mean127hz,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,79808,random,"23,30,35,40",42,0PsGwmgAI-k_clip0001_t00039,150,30,5.000000000
0PsGwmgAI-k_clip0001_t00039_anonv2blu_snvsmv2_470c00f4ee_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\0PsGwmgAI-k_clip0001_t00039_anonv2blu_snvsmv2_470c00f4ee_crf35.mp4,1,anonymization,"blur_box=813,123,311,359;sigma=0;generator=anonymization_v2_exact_timeline_v1",0PsGwmgAI-k_clip0001_t00039,0PsGwmgAI-k,276,tier2,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,4.988000000,0.000000000,5.000000000,global,0.000000000,4.988000000,35,0PsGwmgAI-k_clip0001_t00039_anonv2blu,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,79808,random,"23,30,35,40",42,0PsGwmgAI-k_clip0001_t00039,150,30,5.000000000
FufWLL1IIrQ_clip0048_t00281_desyncv2r2p3f_snvsmv2_470c00f4ee_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\FufWLL1IIrQ_clip0048_t00281_desyncv2r2p3f_snvsmv2_470c00f4ee_crf23.mp4,1,temporal_desync,shift=3f;generator=temporal_v2_structured_timeline_v1,FufWLL1IIrQ_clip0048_t00281,FufWLL1IIrQ,100,tier2,av_timeline_v1,fixed_common_window_v1,circular_wrap,2.068733000,0.100100000,2.043990930,0.000000000,1.968633000,global,0.100100000,1.968633000,23,FufWLL1IIrQ_clip0048_t00281_desyncv2r2p3f,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,32704,random,"23,30,35,40",42,FufWLL1IIrQ_clip0048_t00281,62,30000/1001,2.068733333
FufWLL1IIrQ_clip0048_t00281_revv2f12-22_snvsmv2_470c00f4ee_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\FufWLL1IIrQ_clip0048_t00281_revv2f12-22_snvsmv2_470c00f4ee_crf23.mp4,1,frame_reverse,"reverse_frames=[12,22);generator=frame_reverse_v2_exact_timeline_v1",FufWLL1IIrQ_clip0048_t00281,FufWLL1IIrQ,100,tier2,av_timeline_v1,fixed_common_window_v1,native,2.068733333,0.000000000,2.044000000,0.000000000,2.068733333,local,0.400400000,0.734066667,23,FufWLL1IIrQ_clip0048_t00281_revv2f12-22,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,32704,random,"23,30,35,40",42,FufWLL1IIrQ_clip0048_t00281,62,30000/1001,2.068733333
FufWLL1IIrQ_clip0048_t00281_flatv2mean133hz_snvsmv2_470c00f4ee_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\FufWLL1IIrQ_clip0048_t00281_flatv2mean133hz_snvsmv2_470c00f4ee_crf23.mp4,1,pitch_flatten,flatten_mean_F0=133Hz;generator=pitch_flatten_v2_exact_timeline_v1,FufWLL1IIrQ_clip0048_t00281,FufWLL1IIrQ,100,tier2,av_timeline_v1,fixed_common_window_v1,native,2.068733333,0.000000000,2.044000000,0.000000000,2.068733333,global,0.000000000,2.044000000,23,FufWLL1IIrQ_clip0048_t00281_flatv2mean133hz,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,32704,random,"23,30,35,40",42,FufWLL1IIrQ_clip0048_t00281,62,30000/1001,2.068733333
FufWLL1IIrQ_clip0048_t00281_anonv2blu_snvsmv2_470c00f4ee_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\FufWLL1IIrQ_clip0048_t00281_anonv2blu_snvsmv2_470c00f4ee_crf23.mp4,1,anonymization,"blur_box=534,291,329,477;sigma=0;generator=anonymization_v2_exact_timeline_v1",FufWLL1IIrQ_clip0048_t00281,FufWLL1IIrQ,100,tier2,av_timeline_v1,fixed_common_window_v1,native,2.068733333,0.000000000,2.044000000,0.000000000,2.068733333,global,0.000000000,2.044000000,23,FufWLL1IIrQ_clip0048_t00281_anonv2blu,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,32704,random,"23,30,35,40",42,FufWLL1IIrQ_clip0048_t00281,62,30000/1001,2.068733333
UnodrLYWJYI_clip0033_t00368_desyncv2r2p3f_snvsmv2_470c00f4ee_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\UnodrLYWJYI_clip0033_t00368_desyncv2r2p3f_snvsmv2_470c00f4ee_crf23.mp4,1,temporal_desync,shift=3f;generator=temporal_v2_structured_timeline_v1,UnodrLYWJYI_clip0033_t00368,UnodrLYWJYI,466,tier2,av_timeline_v1,fixed_common_window_v1,circular_wrap,6.900000000,0.100000000,6.876009070,0.000000000,6.800000000,global,0.100000000,6.800000000,23,UnodrLYWJYI_clip0033_t00368_desyncv2r2p3f,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,110016,random,"23,30,35,40",42,UnodrLYWJYI_clip0033_t00368,207,30,6.900000000
