clip_id,file_path,label,method,param,source_clip,source_video,speaker_id,tier,crf,orig_clip_id,snvsm_version,snvsm_config_id,snvsm_encoder,snvsm_preset,snvsm_audio,snvsm_sample_rate,snvsm_channels,snvsm_target_samples,snvsm_mode,snvsm_crf_set,snvsm_seed,snvsm_pair_key,snvsm_video_frames,snvsm_video_fps,snvsm_video_duration_s
y3vBfCdY2tQ_clip0006_t00141_flat236hz_snvsmv2_46c7f60176_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0006_t00141_flat236hz_snvsmv2_46c7f60176_crf35.mp4,1,pitch_flatten,flatten_mean_F0=236Hz,y3vBfCdY2tQ_clip0006_t00141,y3vBfCdY2tQ,0,tier1,35,y3vBfCdY2tQ_clip0006_t00141_flat236hz,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,121872,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0006_t00141,189,25,7.560000000
y3vBfCdY2tQ_clip0006_t00141_anonblu_snvsmv2_46c7f60176_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0006_t00141_anonblu_snvsmv2_46c7f60176_crf35.mp4,1,anonymization,blur_k=auto_faceframes=191,y3vBfCdY2tQ_clip0006_t00141,y3vBfCdY2tQ,0,tier1,35,y3vBfCdY2tQ_clip0006_t00141_anonblu,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,121792,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0006_t00141,190,25,7.600000000
y3vBfCdY2tQ_clip0007_t00149_desyncv2r2p3f_snvsmv2_46c7f60176_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0007_t00149_desyncv2r2p3f_snvsmv2_46c7f60176_crf23.mp4,1,temporal_desync,shift=3f;boundary=circular_wrap;audio_valid_start=0.120000;audio_valid_end=4.763991;visual_valid_start=0.000000;visual_valid_end=4.643991;generator=temporal_v2_circular_avmask_v1,y3vBfCdY2tQ_clip0007_t00149,y3vBfCdY2tQ,0,tier1,23,y3vBfCdY2tQ_clip0007_t00149_desyncv2r2p3f,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,76224,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0007_t00149,120,25,4.800000000
y3vBfCdY2tQ_clip0007_t00149_rev925ms_snvsmv2_46c7f60176_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0007_t00149_rev925ms_snvsmv2_46c7f60176_crf23.mp4,1,frame_reverse,"reverse=[0.42,1.34]s(0.92s)",y3vBfCdY2tQ_clip0007_t00149,y3vBfCdY2tQ,0,tier1,23,y3vBfCdY2tQ_clip0007_t00149_rev925ms,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,75792,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0007_t00149,119,25,4.760000000
y3vBfCdY2tQ_clip0007_t00149_flat259hz_snvsmv2_46c7f60176_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0007_t00149_flat259hz_snvsmv2_46c7f60176_crf23.mp4,1,pitch_flatten,flatten_mean_F0=259Hz,y3vBfCdY2tQ_clip0007_t00149,y3vBfCdY2tQ,0,tier1,23,y3vBfCdY2tQ_clip0007_t00149_flat259hz,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,76544,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0007_t00149,117,25,4.680000000
y3vBfCdY2tQ_clip0007_t00149_anonblu_snvsmv2_46c7f60176_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0007_t00149_anonblu_snvsmv2_46c7f60176_crf23.mp4,1,anonymization,blur_k=auto_faceframes=120,y3vBfCdY2tQ_clip0007_t00149,y3vBfCdY2tQ,0,tier1,23,y3vBfCdY2tQ_clip0007_t00149_anonblu,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,76224,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0007_t00149,119,25,4.760000000
y3vBfCdY2tQ_clip0008_t00156_desyncv2r2p15f_snvsmv2_46c7f60176_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0008_t00156_desyncv2r2p15f_snvsmv2_46c7f60176_crf35.mp4,1,temporal_desync,shift=15f;boundary=circular_wrap;audio_valid_start=0.600000;audio_valid_end=4.060000;visual_valid_start=0.000000;visual_valid_end=3.460000;generator=temporal_v2_circular_avmask_v1,y3vBfCdY2tQ_clip0008_t00156,y3vBfCdY2tQ,0,tier1,35,y3vBfCdY2tQ_clip0008_t00156_desyncv2r2p15f,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,64960,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0008_t00156,102,25,4.080000000
y3vBfCdY2tQ_clip0008_t00156_rev595ms_snvsmv2_46c7f60176_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0008_t00156_rev595ms_snvsmv2_46c7f60176_crf35.mp4,1,frame_reverse,"reverse=[0.20,0.79]s(0.60s)",y3vBfCdY2tQ_clip0008_t00156,y3vBfCdY2tQ,0,tier1,35,y3vBfCdY2tQ_clip0008_t00156_rev595ms,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,64272,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0008_t00156,101,25,4.040000000
y3vBfCdY2tQ_clip0008_t00156_flat266hz_snvsmv2_46c7f60176_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0008_t00156_flat266hz_snvsmv2_46c7f60176_crf35.mp4,1,pitch_flatten,flatten_mean_F0=266Hz,y3vBfCdY2tQ_clip0008_t00156,y3vBfCdY2tQ,0,tier1,35,y3vBfCdY2tQ_clip0008_t00156_flat266hz,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,65024,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0008_t00156,101,25,4.040000000
y3vBfCdY2tQ_clip0008_t00156_anonblu_snvsmv2_46c7f60176_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0008_t00156_anonblu_snvsmv2_46c7f60176_crf35.mp4,1,anonymization,blur_k=auto_faceframes=102,y3vBfCdY2tQ_clip0008_t00156,y3vBfCdY2tQ,0,tier1,35,y3vBfCdY2tQ_clip0008_t00156_anonblu,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,64960,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0008_t00156,101,25,4.040000000
y3vBfCdY2tQ_clip0009_t00160_desyncv2r2m15f_snvsmv2_46c7f60176_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0009_t00160_desyncv2r2m15f_snvsmv2_46c7f60176_crf35.mp4,1,temporal_desync,shift=-15f;boundary=circular_wrap;audio_valid_start=0.000000;audio_valid_end=2.756009;visual_valid_start=0.600000;visual_valid_end=3.356009;generator=temporal_v2_circular_avmask_v1,y3vBfCdY2tQ_clip0009_t00160,y3vBfCdY2tQ,0,tier1,35,y3vBfCdY2tQ_clip0009_t00160_desyncv2r2m15f,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,53696,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0009_t00160,84,25,3.360000000
y3vBfCdY2tQ_clip0009_t00160_rev453ms_snvsmv2_46c7f60176_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0009_t00160_rev453ms_snvsmv2_46c7f60176_crf35.mp4,1,frame_reverse,"reverse=[1.47,1.92]s(0.45s)",y3vBfCdY2tQ_clip0009_t00160,y3vBfCdY2tQ,0,tier1,35,y3vBfCdY2tQ_clip0009_t00160_rev453ms,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,52752,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0009_t00160,83,25,3.320000000
y3vBfCdY2tQ_clip0009_t00160_flat260hz_snvsmv2_46c7f60176_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0009_t00160_flat260hz_snvsmv2_46c7f60176_crf35.mp4,1,pitch_flatten,flatten_mean_F0=260Hz,y3vBfCdY2tQ_clip0009_t00160,y3vBfCdY2tQ,0,tier1,35,y3vBfCdY2tQ_clip0009_t00160_flat260hz,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,53248,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0009_t00160,84,25,3.360000000
y3vBfCdY2tQ_clip0009_t00160_anonblu_snvsmv2_46c7f60176_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0009_t00160_anonblu_snvsmv2_46c7f60176_crf35.mp4,1,anonymization,blur_k=auto_faceframes=84,y3vBfCdY2tQ_clip0009_t00160,y3vBfCdY2tQ,0,tier1,35,y3vBfCdY2tQ_clip0009_t00160_anonblu,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,53696,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0009_t00160,83,25,3.320000000
