clip_id,source_clip,audio_source_clip_id,start_frame,audio_start_frame,num_frames,generator,label,split
j60KF89vXkg_s0000035746_e0000040030__wav2lip_gpu_batch_004__fake,j60KF89vXkg_s0000035746_e0000040030,qy7VoECGCm8_s0000000130_e0000006462,0,0,100,wav2lip,1,train
qy7VoECGCm8_s0000000130_e0000006462__wav2lip_gpu_batch_004__fake,qy7VoECGCm8_s0000000130_e0000006462,xo3VtrivRjk_s0000004482_e0000010174,0,0,100,wav2lip,1,train
xo3VtrivRjk_s0000004482_e0000010174__wav2lip_gpu_batch_004__fake,xo3VtrivRjk_s0000004482_e0000010174,2fqXC4RQyOw_s0000071202_e0000076202,0,0,100,wav2lip,1,train
2fqXC4RQyOw_s0000071202_e0000076202__wav2lip_gpu_batch_004__fake,2fqXC4RQyOw_s0000071202_e0000076202,3lHEAWJhKe8_s0000032162_e0000037162,0,0,100,wav2lip,1,train
3lHEAWJhKe8_s0000032162_e0000037162__wav2lip_gpu_batch_004__fake,3lHEAWJhKe8_s0000032162_e0000037162,5CNS_gaH16c_s0000029282_e0000034622,0,0,100,wav2lip,1,train
5CNS_gaH16c_s0000029282_e0000034622__wav2lip_gpu_batch_004__fake,5CNS_gaH16c_s0000029282_e0000034622,5QPu-wDmeTA_s0000017090_e0000022090,0,0,100,wav2lip,1,train
5QPu-wDmeTA_s0000017090_e0000022090__wav2lip_gpu_batch_004__fake,5QPu-wDmeTA_s0000017090_e0000022090,7mvfCSW4SLw_s0000012482_e0000019262,0,0,100,wav2lip,1,train
7mvfCSW4SLw_s0000012482_e0000019262__wav2lip_gpu_batch_004__fake,7mvfCSW4SLw_s0000012482_e0000019262,JEgxmwvo7YY_s0000089122_e0000093758,0,0,100,wav2lip,1,train
JEgxmwvo7YY_s0000089122_e0000093758__wav2lip_gpu_batch_004__fake,JEgxmwvo7YY_s0000089122_e0000093758,KUVGZwkwd68_s0000023458_e0000028458,0,0,100,wav2lip,1,train
KUVGZwkwd68_s0000023458_e0000028458__wav2lip_gpu_batch_004__fake,KUVGZwkwd68_s0000023458_e0000028458,WgzSaOvFKrc_s0000081250_e0000089150,0,0,100,wav2lip,1,train
WgzSaOvFKrc_s0000081250_e0000089150__wav2lip_gpu_batch_004__fake,WgzSaOvFKrc_s0000081250_e0000089150,bcOT0JHr3Qc_s0000029474_e0000035614,0,0,100,wav2lip,1,train
bcOT0JHr3Qc_s0000029474_e0000035614__wav2lip_gpu_batch_004__fake,bcOT0JHr3Qc_s0000029474_e0000035614,gof2bUJhK3Y_s0000067874_e0000072318,0,0,100,wav2lip,1,train
gof2bUJhK3Y_s0000067874_e0000072318__wav2lip_gpu_batch_004__fake,gof2bUJhK3Y_s0000067874_e0000072318,j60KF89vXkg_s0000044738_e0000051550,0,0,100,wav2lip,1,train
j60KF89vXkg_s0000044738_e0000051550__wav2lip_gpu_batch_004__fake,j60KF89vXkg_s0000044738_e0000051550,qy7VoECGCm8_s0000006722_e0000012222,0,0,100,wav2lip,1,train
qy7VoECGCm8_s0000006722_e0000012222__wav2lip_gpu_batch_004__fake,qy7VoECGCm8_s0000006722_e0000012222,xo3VtrivRjk_s0000010690_e0000015070,0,0,100,wav2lip,1,train
xo3VtrivRjk_s0000010690_e0000015070__wav2lip_gpu_batch_004__fake,xo3VtrivRjk_s0000010690_e0000015070,2fqXC4RQyOw_s0000075202_e0000080202,0,0,100,wav2lip,1,train
2fqXC4RQyOw_s0000075202_e0000080202__wav2lip_gpu_batch_004__fake,2fqXC4RQyOw_s0000075202_e0000080202,3lHEAWJhKe8_s0000042690_e0000051326,0,0,100,wav2lip,1,train
3lHEAWJhKe8_s0000042690_e0000051326__wav2lip_gpu_batch_004__fake,3lHEAWJhKe8_s0000042690_e0000051326,5CNS_gaH16c_s0000063426_e0000073054,0,0,100,wav2lip,1,train
5CNS_gaH16c_s0000063426_e0000073054__wav2lip_gpu_batch_004__fake,5CNS_gaH16c_s0000063426_e0000073054,5QPu-wDmeTA_s0000047074_e0000053214,0,0,100,wav2lip,1,train
5QPu-wDmeTA_s0000047074_e0000053214__wav2lip_gpu_batch_004__fake,5QPu-wDmeTA_s0000047074_e0000053214,7mvfCSW4SLw_s0000019362_e0000024362,0,0,100,wav2lip,1,train
7mvfCSW4SLw_s0000019362_e0000024362__wav2lip_gpu_batch_004__fake,7mvfCSW4SLw_s0000019362_e0000024362,JEgxmwvo7YY_s0000106370_e0000112926,0,0,100,wav2lip,1,train
JEgxmwvo7YY_s0000106370_e0000112926__wav2lip_gpu_batch_004__fake,JEgxmwvo7YY_s0000106370_e0000112926,KUVGZwkwd68_s0000031458_e0000036458,0,0,100,wav2lip,1,train
KUVGZwkwd68_s0000031458_e0000036458__wav2lip_gpu_batch_004__fake,KUVGZwkwd68_s0000031458_e0000036458,WgzSaOvFKrc_s0000109858_e0000114858,0,0,100,wav2lip,1,train
WgzSaOvFKrc_s0000109858_e0000114858__wav2lip_gpu_batch_004__fake,WgzSaOvFKrc_s0000109858_e0000114858,bcOT0JHr3Qc_s0000037954_e0000042206,0,0,100,wav2lip,1,train
bcOT0JHr3Qc_s0000037954_e0000042206__wav2lip_gpu_batch_004__fake,bcOT0JHr3Qc_s0000037954_e0000042206,gof2bUJhK3Y_s0000088386_e0000093386,0,0,100,wav2lip,1,train
gof2bUJhK3Y_s0000088386_e0000093386__wav2lip_gpu_batch_004__fake,gof2bUJhK3Y_s0000088386_e0000093386,j60KF89vXkg_s0000067362_e0000071934,0,0,100,wav2lip,1,train
j60KF89vXkg_s0000067362_e0000071934__wav2lip_gpu_batch_004__fake,j60KF89vXkg_s0000067362_e0000071934,qy7VoECGCm8_s0000048802_e0000053802,0,0,100,wav2lip,1,train
qy7VoECGCm8_s0000048802_e0000053802__wav2lip_gpu_batch_004__fake,qy7VoECGCm8_s0000048802_e0000053802,xo3VtrivRjk_s0000020514_e0000024958,0,0,100,wav2lip,1,train
xo3VtrivRjk_s0000020514_e0000024958__wav2lip_gpu_batch_004__fake,xo3VtrivRjk_s0000020514_e0000024958,2fqXC4RQyOw_s0000079202_e0000084202,0,0,100,wav2lip,1,train
2fqXC4RQyOw_s0000079202_e0000084202__wav2lip_gpu_batch_004__fake,2fqXC4RQyOw_s0000079202_e0000084202,3lHEAWJhKe8_s0000141986_e0000146986,0,0,100,wav2lip,1,train
3lHEAWJhKe8_s0000141986_e0000146986__wav2lip_gpu_batch_004__fake,3lHEAWJhKe8_s0000141986_e0000146986,5CNS_gaH16c_s0000073506_e0000077918,0,0,100,wav2lip,1,train
5CNS_gaH16c_s0000073506_e0000077918__wav2lip_gpu_batch_004__fake,5CNS_gaH16c_s0000073506_e0000077918,5QPu-wDmeTA_s0000055714_e0000062014,0,0,100,wav2lip,1,train
5QPu-wDmeTA_s0000055714_e0000062014__wav2lip_gpu_batch_004__fake,5QPu-wDmeTA_s0000055714_e0000062014,7mvfCSW4SLw_s0000027362_e0000032362,0,0,100,wav2lip,1,train
7mvfCSW4SLw_s0000027362_e0000032362__wav2lip_gpu_batch_004__fake,7mvfCSW4SLw_s0000027362_e0000032362,JEgxmwvo7YY_s0000130210_e0000137726,0,0,100,wav2lip,1,train
JEgxmwvo7YY_s0000130210_e0000137726__wav2lip_gpu_batch_004__fake,JEgxmwvo7YY_s0000130210_e0000137726,KUVGZwkwd68_s0000037282_e0000042282,0,0,100,wav2lip,1,train
KUVGZwkwd68_s0000037282_e0000042282__wav2lip_gpu_batch_004__fake,KUVGZwkwd68_s0000037282_e0000042282,WgzSaOvFKrc_s0000136354_e0000142622,0,0,100,wav2lip,1,train
WgzSaOvFKrc_s0000136354_e0000142622__wav2lip_gpu_batch_004__fake,WgzSaOvFKrc_s0000136354_e0000142622,bcOT0JHr3Qc_s0000087010_e0000092734,0,0,100,wav2lip,1,train
bcOT0JHr3Qc_s0000087010_e0000092734__wav2lip_gpu_batch_004__fake,bcOT0JHr3Qc_s0000087010_e0000092734,gof2bUJhK3Y_s0000092386_e0000096702,0,0,100,wav2lip,1,train
gof2bUJhK3Y_s0000092386_e0000096702__wav2lip_gpu_batch_004__fake,gof2bUJhK3Y_s0000092386_e0000096702,j60KF89vXkg_s0000081826_e0000086826,0,0,100,wav2lip,1,train
j60KF89vXkg_s0000081826_e0000086826__wav2lip_gpu_batch_004__fake,j60KF89vXkg_s0000081826_e0000086826,qy7VoECGCm8_s0000098114_e0000103114,0,0,100,wav2lip,1,train
